time,latitude,longitude,altitude,speed,yaw,pitch,roll,yaw_rate,pitch_rate,roll_rate
14.6,32.0938600259,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.7,32.0936809850,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.8,32.0935019441,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.9,32.0933229032,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.0,32.0931438622,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.1,32.0929648213,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.2,32.0927857804,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.3,32.0926067395,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.4,32.0924276986,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.5,32.0922486577,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.6,32.0920696167,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.7,32.0918905758,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.8,32.0917115349,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.9,32.0915324940,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.0,32.0913534531,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.1,32.0911744121,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.2,32.0909953712,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.3,32.0908163303,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.4,32.0906372894,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.5,32.0904582485,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.6,32.0902792076,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.7,32.0901001666,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.8,32.0899211257,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.9,32.0897420848,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.0,32.0895630439,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.1,32.0893840030,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.2,32.0892049620,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.3,32.0890259211,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
